design,logic_levels,logic_levels_noinv,delay_ns,slack_ns,cell_area
qread_2_16e,14,8,11.44,,36716.109898
qread_2_32e,13,9,10.89,,73985.059715
qread_2_oh,6,3,7.84,,17824.559948
qread_2,10,6,11.26,,17992.579939
qread_4_16e,15,10,11.41,,73101.609844
qread_4_32e,13,9,10.96,,148127.189442
qread_4_oh,8,4,7.59,,36721.519909
qread_4,11,7,9.96,,35708.749928
repl_first_invalid_16,14,12,9.52,,1121.619982
repl_first_invalid_32,23,21,12.9,,2503.279943
repl_first_invalid_4,3,2,5.83,,167.969997
repl_first_invalid_64,39,38,14.98,,5987.209856
repl_first_invalid_8,4,3,6.38,,498.489992
tag08_2way_hit,4,4,7.09,,942.659996
tag08_4way_hit,5,4,7.88,,1993.709991
tag08_4way_sel,11,7,9.96,,7129.469944
tag08_8way_hit,5,5,7.54,,3819.399982
tag08_8way_sel,14,9,10.95,,14806.339895
tag08_eq,6,4,7.4,,585.129999
tag08_mask_eq,7,5,7.66,,931.85
tag08_xor_eq,4,3,6.06,,482.169998
tag16_2way_hit,8,6,7.85,,2107.48999
tag16_2way_sel,12,7,9.28,,6284.920017
tag16_4way_hit,8,6,8.1,,4187.879978
tag16_4way_sel,14,9,11.07,,8755.129999
tag16_8way_hit,9,7,8.27,,8424.529957
tag16_8way_sel,16,11,11.79,,17358.509932
tag16_eq,7,5,7.6,,1051.039995
tag16_mask_eq,8,6,7.87,,1744.479998
tag16_xor_eq,4,3,6.13,,948.079994
tag20_2way_hit,9,7,8.85,,2584.289978
tag20_4way_hit,9,7,9.1,,5141.479954
tag20_4way_sel,15,10,12.46,,9708.729975
tag20_8way_hit,10,8,9.27,,10331.729908
tag20_8way_sel,17,12,13.17,,19265.709883
tag20_eq,8,6,8.67,,1289.439989
tag20_mask_eq,9,7,8.94,,2156.239992
tag20_xor_eq,5,4,6.64,,1186.479988
tag24_2way_hit,8,6,7.85,,3061.009979
tag24_4way_hit,8,6,8.1,,6094.919956
tag24_4way_sel,14,9,11.06,,10662.169977
tag24_8way_hit,9,7,8.26,,12238.609913
tag24_8way_sel,16,11,11.78,,21172.589888
tag24_eq,7,5,7.6,,1527.79999
tag24_mask_eq,8,6,7.86,,2567.959993
tag24_xor_eq,5,4,6.52,,1424.839989
tag32_2way_hit,8,6,7.79,,4057.829979
tag32_2way_sel,12,7,9.28,,8224.420006
tag32_4way_hit,8,6,7.91,,8110.239956
tag32_4way_sel,14,9,10.85,,12682.919977
tag32_8way_hit,9,7,8.18,,16247.569912
tag32_8way_sel,16,11,11.75,,25208.659887
tag32_eq,7,5,7.6,,2015.369989
tag32_mask_eq,8,6,7.87,,3402.249994
tag32_xor_eq,5,4,6.33,,1912.409988
tag48_2way_hit,8,6,7.78,,5943.209953
tag48_2way_sel,12,7,9.27,,10109.79998
tag48_4way_hit,8,6,7.9,,11880.999905
tag48_4way_sel,14,9,10.84,,16453.679926
tag48_8way_hit,9,7,8.17,,23789.089809
tag48_8way_sel,16,11,11.74,,32750.179785
tag48_eq,7,5,7.59,,2958.059977
tag48_mask_eq,8,6,7.86,,5038.379984
tag48_xor_eq,6,5,6.78,,2855.099976
tag64_xor_eq,5,4,6.4,,3808.559975
tag8_2way_sel,6,4,7.96,,3976.420006
